,en,es,fr,id,jp,th,vi,zh,tr
VerifiedIndication,Recognition success prompt,Aviso de éxito de reconocimiento,Invite de succès de reconnaissance,Prompt Pengenalan Sukses,認識成功プロンプト,พรอมต์ความสำเร็จในการรับรู้,Lời nhắc công nhận thành công,辨識成功提示,Tanıma başarısı istemi
VerifiedTimeStamp,Verified Timestamp,Marca de tiempo verificada,Horodatage vérifié,Stempel Waktu Terverifikasi,検出時間,ประทับเวลาที่ตรวจสอบแล้ว,Dấu thời gian đã được xác minh,識別時間,Doğrulanmış Zaman Damgası
VerifiedUuid,Verified Uuid,UUid verificado,Uuid vérifié,Terverifikasi Uuid,フォローする,ยืนยันแล้ว อุยอิด,Uuid đã được xác minh,驗證的Uuid,Doğrulanmış Uuid
VerifyResultDisplayDuration,Result Display Duration (milliseconds),Duración de la visualización de resultados (milisegundos),Durée d'affichage des résultats (millisecondes),Durasi Tampilan Hasil (milidetik),識別結果表示時間(ミリ秒),ระยะเวลาแสดงผล (มิลลิวินาที),Thời lượng hiển thị kết quả (mili giây),辨識結果顯示時間(毫秒),Sonuç Görüntüleme Süresi (milisaniye)
VerifyResultPhoto,Shown Photo,Foto mostrada,Photo montrée,Foto yang Ditampilkan,写真表示,ภาพที่แสดง,Ảnh được hiển thị,顯示的照片,Gösterilen Fotoğraf
VerifyThreshold,Recognition Threshold,Umbral de reconocimiento,Seuil de reconnaissance,Ambang batas Pengenalan,認識閾値,เกณฑ์การรับรู้,Ngưỡng nhận dạng,辨識閾值,Tanıma Eşiği
VersionNumber,Version Number,Número de versión,Numéro de version,Nomor Versi,バージョン,หมายเลขเวอร์ชัน,Số phiên bản,版號,Sürüm Numarası
VideoBasicCOlNameAntiSpoofingScore,Anti-spoofing score threshold,Umbral de puntaje anti-spoofing,Seuil de score anti-usurage,Ambang batas skor anti-spoofing,スプーフィングスコアのしきい値（0〜1）,เกณฑ์คะแนนป้องกันการปิด,Ngưỡng điểm chống giả mạo,防偽分數閾值,Sahteciliğe karşı koruma puan eşiği
VideoBasicCOlNameCaptureInterval,Face capture interval (milliseconds),Intervalo de captura de cara (milisegundos),Intervalle de capture du visage (millisecondes),Interval pengambilan wajah (milidetik),フェイスキャプチャ間隔（ミリ秒）,ช่วงเวลาการจับภาพใบหน้า (มิลลิวินาที),Khoảng thời gian chụp khuôn mặt (mili giây),人臉擷取間隔 (毫秒),Yüz yakalama aralığı (milisaniye)
VideoBasicCOlNameFaceMinimumSize,Minimum face size (0: umlimited),Tamaño mínimo de la cara (0: Umlimited),Taille minimale du visage (0: umlimited),Ukuran wajah minimum (0: umlimited),最小面は幅と高さです（0：無制限）,ขนาดใบหน้าขั้นต่ำ (0: umlimited),Kích thước khuôn mặt tối thiểu (0: umlimited),最小人臉寬高 (0:不限制),Minimum yüz boyutu (0: sınırsız)
VideoBasicCOlNameTargetScore,Face recognition score threshold (0~1),Umbral de puntaje de reconocimiento facial (0 ~ 1),Seuil de score de reconnaissance face (0 ~ 1),Ambang batas skor pengenalan wajah (0~1),顔認識スコアのしきい値（0〜1）,เกณฑ์คะแนนการจดจำใบหน้า (0 ~ 1),Ngưỡng điểm nhận dạng khuôn mặt (0~1),辨識分數閾值 (0~1),Yüz tanıma puanı eşiği (0~1)
VideoDevice,Video Devices,Dispositivos de video,Périphériques,Perangkat Video,ビデオデバイス,อุปกรณ์วิดีโอ,Thiết bị Video,影像設備,Video Aygıtları
VideoDeviceBasic,Basic settings,Ajustes básicos,Paramètres de base,Pengaturan dasar,基本設定,การตั้งค่าพื้นฐาน,Cài đặt cơ bản,基本設定,Temel ayarlar
VideoDeviceCameras,Cameras,Cámaras,Appareils photo,Kamera,カメラ,กล้องถ่ายรูป,Camera,攝影機,Kameralar
VideoDeviceDigitalOutPut,Output settings,Ajustes de salida,Paramètres de sortie,Pengaturan output,出力設定,การตั้งค่าเอาต์พุต,Cài đặt đầu ra,輸出設定,Çıktı ayarları
VideoDeviceGroupsBasicCOlNameDeviceName,video group name,Nombre del grupo de video,Nom du groupe de vidéos,nama grup video,ビデオグループ名,ชื่อกลุ่มวิดีโอ,Tên nhóm video,影像群組名稱,video grubu adı
VideoDeviceGroupsBasicName,Add image group,Agregar grupo de imágenes,Ajouter un groupe d'images,Tambah grup gambar,画像グループを追加します,เพิ่มกลุ่มภาพ,Thêm nhóm hình ảnh,新增影像群組,Resim grubu ekle
VideoDeviceROI,ROIs,Roce,Ruissellement,ROI,ROI,Rois,ROI,辨識區域,ROI'ler
VideoDeviceTablets,Tablets,Tabletas,Comprimés,Tablet,タブレット,เม็ด,Máy tính bảng,平板,Tabletler
VideoDeviceVideoSource,Video Source,Fuente de vídeo,Source vidéo,Sumber Video,ビデオソース,แหล่งวิดีโอ,Nguồn video,影像來源,Video Kaynağı
VideoDevicesGroup,Video Device Group,Grupo de dispositivos de video,Groupe d'appareils vidéo,Grup Perangkat Video,ビデオデバイスグループ,กลุ่มอุปกรณ์วิดีโอ,Nhóm thiết bị video,影像設備群組,Video Aygıt Grubu
VideoFaceCapture,Face capture rate,Tasa de captura de la cara,Taux de capture du visage,Tingkat pengambilan wajah,フェイスキャプチャ率,อัตราการจับภาพใบหน้า,Tỷ lệ chụp khuôn mặt,人臉擷取閾值,Yüz yakalama oranı
VideoFaceMerge,Face Merge,Combinación de caras,Fusion de visages,Penggabungan Wajah,フェイスマージ,ผสานใบหน้า,Hợp nhất khuôn mặt,人臉合併,Yüz Birleştirme
VideoGroup,Video Group,Grupo de videos,Groupe de vidéos,Grup Video,ビデオグループ,กลุ่มวิดีโอ,Nhóm Video,影像來源設備(群組),Video Grubu
VideoSourceConnectionString,Connection String,Cadena de conexión,Chaîne de connexion,Rangkaian Koneksi,接続文字列,สตริงการเชื่อมต่อ,Chuỗi kết nối,連接資訊,Bağlantı Dizesi
VideoSourceIpAddress,Ip Address,Dirección IP,Adresse IP,Alamat IP,IPアドレス,ที่อยู่ IP,Địa chỉ IP,IP 位址,IP Adresi
VideoSourceParameters,Parameters,Parámetros,Paramètres,Parameter,パラメーター,พารามิเตอร์,Thông số,參數,Parametreler
VideoSourcePassword,Password,Contraseña,Mot de passe,Kata sandi,パスワード,รหัสผ่าน,Mật khẩu,密碼,Şifre
VideoSourcePort,Port,Puerto,Port,Port,ポート,ท่าเรือ,Cổng,埠,Liman
VideoSourceType,Type,Tipo,Taper,Jenis,タイプ,พิมพ์,Loại,類型,Tip
VideoSourceUsername,Username,Nombre de usuario,Nom d'utilisateur,Nama pengguna,ユーザー名,ชื่อผู้ใช้,Tên tài khoản,帳號,Kullanıcı adı
Visitor,Visitor,Visitante,Visiteur,Pengunjung,ビジター,ผู้มาเยือน,Khách thăm quan,訪客,Ziyaretçi
VisitorId,Visitor ID,ID de visitante,ID du visiteur,ID Pengunjung,ビジターID,รหัสผู้เยี่ยมชม,ID khách thăm quan,訪客編號,Ziyaretçi Kimliği
VisitorName,Visitor Name,Nombre del visitante,Nom du visiteur,Nama Pengunjung,ビジター名,ชื่อผู้เยี่ยมชม,Tên khách thăm quan,訪客姓名,Ziyaretçi Adı
VisitorReport,Visitor Report,Informe de visitante,Rapport des visiteurs,Laporan Pengunjung,ビジター,รายงานผู้เยี่ยมชม,Báo cáo khách thăm quan,訪客報表,Ziyaretçi Raporu
Wed,Wed,Mié,Mer,Rab,水,พุธ,Thứ Tư,三,Çarşamba
Welcome,Welcome Board,Panel de Bienvenida,Panneau de bienvenue,Papan Selamat Datang,ウェルカムボード,บอร์ดต้อนรับ,Bảng chào đón,迎賓看板,Hoş Geldiniz Kurulu
WelcomeGreeting,Welcome,Bienvenido,Accueillir,Selamat datang,いらっしゃいませ,ยินดีต้อนรับ,Chào mừng,歡迎詞,Hoş geldin
Welcome_Mode,Welcome Board,Tablero de bienvenida,Panneau de bienvenue,Papan Selamat Datang,ウェルカム ボード,บอร์ดต้อนรับ,Bảng chào đón,迎賓看板,Hoş Geldiniz Kurulu
What,What,Qué,Quoi,Apa,何,อะไร,Cái gì,何事,Ne
When,When,Cuando,Quand,Kapan,いつ,เมื่อไร,Khi,何時,Ne zaman
Who,Who,OMS,OMS,Siapa,誰が,WHO,Ai,何人,DSÖ
Wiegand,Wiegand,Wiegand,Wiegand,Wiegand,ウィーガンド,wiegand,Wiegand,韋根,Wiegand
Wiegand Converters,Wiegand Converters,Convertidores de Wiegand,Convertisseurs Wiegand,Pengonversi Wiegand,ウィーガンドコンバーター,ตัวแปลง Wiegand,Bộ chuyển đổi Wiegand,韋根轉換器,Wiegand Dönüştürücüler
WiegandBasicCOlNameDataFormat,Data format,Formato de datos,Format de données,Format data,データ形式,รูปแบบข้อมูล,Định dạng dữ liệu,資料格式,Veri biçimi
WiegandBasicCOlNameDeviceGroups,Device groups,Grupos de dispositivos,Groupes d'appareils,Grup perangkat,デバイスグループ,กลุ่มอุปกรณ์,Nhóm thiết bị,設備群組,Aygıt grupları
WiegandBasicCOlNameDeviceName,Device name,Nombre del dispositivo,Nom de l'appareil,Nama perangkat,デバイス名,ชื่ออุปกรณ์,Tên thiết bị,設備名稱,Cihaz adı
WiegandBasicCOlNameIP,IP address,dirección IP,adresse IP,alamat IP,IPアドレス,ที่อยู่ IP,Địa chỉ IP,IP 位址,IP adresi
WiegandBasicCOlNameIndex,Index,Índice,Indice,Indeks,インデックス,ดัชนี,Chỉ mục,索引,Dizin
WiegandBasicCOlNamePort,Port,Puerto,Port,Port,ポート,ท่าเรือ,Cổng,埠,Liman
WiegandBasicCOlNameSystemCode,System code,Código del sistema,Code système,Kode sistem,システムコード,รหัสระบบ,Mã hệ thống,系統代碼,Sistem kodu
WiegandBasicName,Basic settings,Ajustes básicos,Paramètres de base,Pengaturan dasar,基本設定,การตั้งค่าพื้นฐาน,Cài đặt cơ bản,基本設定,Temel ayarlar
WiegandBasicTitleNameConnection,Connection Info,Información de conexión,Informations sur la connexion,Info Koneksi,接続情報,ข้อมูลการเชื่อมต่อ,Thông tin kết nối,連線資訊,Bağlantı Bilgileri
WiegandBasicTitleNameSettings,Settings,Ajustes,Paramètres,Pengaturan,設定,การตั้งค่า,Cài đặt,設定,Ayarlar
WiegandBox,Wiegand converter,Convertidor de wiegand,Convertisseur Wiegand,Konverter Wiegand,ウィーガンドコンバーター,Wiegand Converter,Bộ chuyển đổi Wiegand,韋根轉換器,Wiegand dönüştürücü
WiegandFormat,Wiegand Format,Formato de wiegand,Format wiegand,Format Wiegand,フォーマット,รูปแบบ wiegand,Định dạng Wiegand,韋根格式,Wiegand Biçimi
WiegandStep1Name,Basic settings,Ajustes básicos,Paramètres de base,Pengaturan dasar,基本設定,การตั้งค่าพื้นฐาน,Cài đặt cơ bản,基本設定,Temel ayarlar
WiegandStep3Name,Output settings,Ajustes de salida,Paramètres de sortie,Pengaturan output,出力設定,การตั้งค่าเอาต์พุต,Cài đặt đầu ra,輸出設定,Çıktı ayarları
Wiegandboxs,Wiegand Converters,Convertidores de Wiegand,Convertisseurs Wiegand,Konverter Wiegand,ウィーガンドコンバーター,ตัวแปลง Wiegand,Bộ chuyển đổi Wiegand,韋根轉換器,Wiegand Dönüştürücüler
WifiPassword,Wi-Fi Password,Contraseña de wifi,Mot de passe WiFi,Kata sandi Wi-Fi,Wi-Fiパスワード,รหัสผ่าน Wi-Fi,Mật khẩu mạng wifi,無線網路密碼,Wi-Fi Şifresi
WifiSettings,Wi-Fi Settings,Configuración de Wi-Fi,Paramètres Wifi,Pengaturan Wi-Fi,Wi-Fi設定,การตั้งค่า Wi-Fi,Cài đặt Wi-Fi,無線網路設定,Wi-Fi Ayarları
WillLossAllPersonData,"Will Loss All Person Data, Continue ?","¿Continuarán todos los datos de la persona, continuarán?",La perte de toutes les données de la personne se poursuivra-t-elle?,"Semua Data Orang Akan Hilang, Lanjutkan?","すべてのパーソンデータが失われます, 継続する?",จะสูญเสียข้อมูลบุคคลทั้งหมดดำเนินการต่อหรือไม่?,"Sẽ mất tất cả dữ liệu cá nhân, tiếp tục?","將遺失所有人員資料, 要繼續?","Tüm Kişisel Veriler Kaybolacak mı, Devam Edecek Miyim?"
WithPhoto,With Photo,Con foto,Avec photo,Dengan Foto,写真あり,พร้อมรูปถ่าย,Với ảnh,含照片,Fotoğraflı
WithoutPhoto,Without Photo,Sin foto,Sans photo,Tanpa Foto,写真なし,ไม่มีรูปถ่าย,Không có ảnh,不含照片,Fotoğrafsız
WorkingHousCalculatingTip,The working hours of the day will be calculated after the scheduled clock-out time,Las horas de trabajo del día se calcularán después de la hora programada de tiempo.,Les heures de travail de la journée seront calculées après l'heure d'horlogerie prévue,Jam kerja pada hari itu akan dihitung setelah waktu keluar yang dijadwalkan,その日の労働時間は、予定された退勤時刻の後に計算されます。,เวลาทำงานของวันจะถูกคำนวณหลังจากเวลานาฬิกาตามกำหนดเวลา,Số giờ làm việc trong ngày sẽ được tính sau thời gian tan làm định trước,當天的工作時間將在預定的下班時間後計算,"Günün çalışma saatleri, planlanan çıkış saatinden sonra hesaplanacaktır."
WorkingTime,Working hours,Horas Laborales,Heures d'ouverture,Jam kerja,勤務時間,ชั่วโมงทำงาน,Giờ làm việc,上班時數,Çalışma saatleri
XML,XML,Xml,Xml,XML,XML,XML,XML,XML,xml
XMLType,XML Format,Formato XML,Format XML,Format XML,XML タイプ,รูปแบบ xml,Định dạng XML,XML 格式,XML Biçimi
Yes,Yes,Sí,Oui,Ya,はい,ใช่,Đúng,是,Evet
Yesterday,Yesterday,Ayer,Hier,Kemarin,昨日,เมื่อวาน,Hôm qua,昨日,Dün
batchCommand,Batch Remarks,Comentarios de lote,Remarques sur le lot,Batch Perkataan,バッチの備考,หมายเหตุแบทช์,Nhận xét hàng loạt,批量備註,Toplu Açıklamalar
comma,"Comma (,)","Coma (,)","Virgule (,)","Koma (,)","コンマ (,)","คอมม่า (,)","Dấu phẩy (,)","逗號 (,)","Virgül (,)"
command,Remarks,Observaciones,Remarques,Perkataan,備考,หมายเหตุ,Bình luận,備註,Notlar
confirmedAs,Confirmed as,Confirmado como,Confirmé comme,Dikonfirmasi sebagai,として確認されました,ได้รับการยืนยันว่าเป็น,Đã xác nhận là,確認人員為,Onaylandı
customize,Customized,Personalizado,Personnalisé,Dikustom,カスタマイズ,ที่ปรับแต่งได้,Tùy chỉnh,自訂,Özelleştirilmiş
email,Email,Correo electrónico,E-mail,Email,Eメール,อีเมล,Email,電子郵件,E-posta
fold,Collapse,Colapsar,Effondrement,Kolaps,折りたたむ,ทรุด,Thu gọn,折疊,Yıkılmak
items,Items,Elementos,Articles,Barang,アイテム,รายการ,Chỉ mục,項,Öğeler
lessThan50words,Up to 50 words,Hasta 50 palabras,Jusqu'à 50 mots,Hingga 50 kata,最大50文字まで,มากถึง 50 คำ,Tối đa 50 từ,最多50字,50 kelimeye kadar
limitNumber0to1,Should range from 0 to 1,Debe variar de 0 a 1,Devrait varier de 0 à 1,Harus berkisar dari 0 hingga 1,0から1の範囲です,ควรอยู่ในช่วงตั้งแต่ 0 ถึง 1,Nên nằm trong khoảng từ 0 đến 1,限制輸入0~1,0 ile 1 arasında olmalıdır
limitNumberRange,Should range from #1 to #2,Debe oscilar entre el n.º 1 y el n.º 2,Doit aller du n°1 au n°2,Harus berkisar dari #1 hingga #2,#1 から #2 の範囲,ควรอยู่ในช่วงตั้งแต่ #1 ถึง #2,Nên nằm trong khoảng từ #1 đến #2,限制輸入{min} ~ {max},#1 ile #2 arasında olmalıdır
limitNumbers,Must be numeric,Debe ser numérico,Doit être numérique,Harus numerik,数値でなければなりません,ต้องเป็นตัวเลข,Phải là số,限制輸入數字,Sayısal olmalı
limitNumbers1000up,Should range from 1000 to 600000,Debe variar de 1000 a 600000,Devrait varier de 1000 à 600000,Harus berkisar antara 1000 hingga 600000,1000から600000の範囲,"ควรอยู่ในช่วงตั้งแต่ 1000 ถึง 600,000",Nên nằm trong khoảng từ 1000 đến 600000,限制輸入數字1000~600000,1000 ile 600000 arasında olmalıdır
limitNumbers100up,Should range from 100 to 1000,Debe variar de 100 a 1000,Devrait varier de 100 à 1000,Harus berkisar antara 100 hingga 1000,100から1000の範囲,"ควรอยู่ในช่วงตั้งแต่ 100 ถึง 1,000",Nên nằm trong khoảng từ 100 đến 1000,限制輸入數字100~1000,100 ile 1000 arasında olmalıdır
msgLoadingVideo,Loading...,Cargando...,Chargement...,Memuat...,読み込み...,กำลังโหลด ...,Đang tải...,讀取中...,Yükleniyor...
placeholder,please choose,por favor elija,Choisissez s'il vous plaît,tolong pilih,選んでください,โปรดเลือก,Vui lòng chọn,請選擇,Lütfen seçin
reason,Reason,Razón,Raison,Alasan,理由,เหตุผล,Lý do,事由,Sebep
semicolon,Semicolon (;),Punto y coma (;),Point-virgule (;),Titik koma (;),セミコロン (;),เซมิโคลอน (;),Dấu chấm phẩy (;),分號 (;),Noktalı virgül (;)
show_identity,Show ID,Mostrar identificación,Afficher l'identifiant,Tunjukkan ID,IDを表示,แสดงบัตรประจำตัว,Hiển thị ID,顯示 ID,Kimlik Göster
similarPerson,Similar Person,Persona similar,Personne similaire,Orang Serupa,似たような人,บุคคลที่คล้ายกัน,Người tương tự,相似人員,Benzer Kişi
similarRate,Similar Rate,Tarifa similar,Tarif similaire,Tarif Serupa,類似率,อัตราที่คล้ายกัน,Tỷ lệ tương tự,相似度,Benzer Oran
space,Space ( ),Espacio ( ),Espace ( ),Spasi ( ),スペース ( ),ช่องว่าง ( ),Khoảng trống ( ),空白 ( ),Uzay ( )
tab,Tab (\t),Tabulador (\t),Tabulation (\t),Tab (\t),タブ (\t),แท็บ (\t),Tab (\t),Tab (\t),Sekme (\t)
txtSeparator,Separator,Separador,Séparateur,Pemisah,セパレーター,เครื่องแยก,Dấu phân cách,分隔符號,Ayırıcı
